STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100811,282, , ,s,9999,247, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100812,321, , ,s,9999,226, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100813,295, , ,s,9999,258, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100814,358, , ,s,9999,242, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100815,354, , ,s,9999,215, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100816,351, , ,s,9999,231, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100817,328, , ,s,9999,237, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100818,297, , ,s,9999,252, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100819,278, , ,s,9999,213, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100820,312, , ,s,9999,239, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100821,265, , ,s,9999,203, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100822,291, , ,s,9999,190, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100823,307, , ,s,9999,204, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100824,289, , ,s,9999,217, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100825,302, , ,s,9999,184, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100826,314, , ,s,9999,206, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100827,303, , ,s,9999,233, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100828,316, , ,s,9999,200, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100829,316, , ,s,9999,214, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100830,323, , ,s,9999,222, , ,s,9999
